batch,keyword,position,col_d,traffic,traffic_pct,volume,kd,url
2,proform treadmill models,1,6,611,0.17,1300,77,https://www.treadmillreviews.net/proform-treadmill-review/
2,horizon t101 review,1,6,611,0.17,1300,70,https://www.treadmillreviews.net/horizon-t101-treadmill-review/
2,good treadmill,1,3,611,0.17,1300,91,https://www.treadmillreviews.net/best-treadmill/for-home-use/
2,nordictrack a2350,1,5,611,0.17,1300,69,https://www.treadmillreviews.net/nordictrack-a2350-pro/
2,nautilus t614 treadmill,1,5,611,0.17,1300,68,https://www.treadmillreviews.net/nautilus-t614/
2,best incline treadmill,1,3,611,0.17,1300,80,https://www.treadmillreviews.net/best-treadmill/incline-trainers/
2,sole f80 treadmill reviews,1,7,611,0.17,1300,71,https://www.treadmillreviews.net/sole-f80/
2,nordictrack c900,1,3,611,0.17,1300,70,https://www.treadmillreviews.net/nordictrack-c900-treadmill-review/
2,treadclimber,6,4,605,0.17,12100,80,https://www.treadmillreviews.net/bowflex-treadclimber-tc100/
2,nordictrack t 6.5 s treadmill,3,6,594,0.16,6600,72,https://www.treadmillreviews.net/nordictrack-t-6-5-s/
2,portable treadmill,7,5,592,0.16,14800,83,https://www.treadmillreviews.net/portable-treadmill-reviews/
2,incline treadmill,7,7,592,0.16,14800,87,https://www.treadmillreviews.net/best-treadmill/for-home-use/
2,sole f85,2,8,572,0.16,4400,68,https://www.treadmillreviews.net/sole-f85/
2,nordictrack c990,2,2,572,0.16,4400,67,https://www.treadmillreviews.net/nordictrack-c990/
2,best treadmills for running,2,5,572,0.16,4400,87,https://www.treadmillreviews.net/best-treadmill/for-home-use/
2,nordictrack treadmill,8,8,543,0.15,90500,86,https://www.treadmillreviews.net/nordictrack-treadmill-reviews/
2,nordictrack,13,10,541,0.15,301000,92,https://www.treadmillreviews.net/nordictrack-treadmill-reviews/
2,nordictrack commercial 1750,3,6,487,0.13,27100,72,https://www.treadmillreviews.net/nordictrack-commercial-1750/
2,perfect body girl,3,4,486,0.13,5400,86,https://www.treadmillreviews.net/building-the-perfect-body/
2,best home treadmill 2020,3,5,486,0.13,5400,86,https://www.treadmillreviews.net/best-home-treadmills-2020/
2,healthrider,3,5,486,0.13,5400,81,https://www.treadmillreviews.net/healthrider-treadmill-review/
2,fold away treadmill,1,6,470,0.13,1000,89,https://www.treadmillreviews.net/best-treadmill/folding/
2,best rated treadmills,1,5,470,0.13,1000,86,https://www.treadmillreviews.net/best-treadmill/for-home-use/
2,proform pro 5000,1,4,470,0.13,1000,75,https://www.treadmillreviews.net/proform-pro-5000/
2,nordictrack c950i,1,2,470,0.13,1000,70,https://www.treadmillreviews.net/nordictrack-c950/
2,proform 800i,1,6,470,0.13,1000,67,https://www.treadmillreviews.net/proform-smart-performance-800i/
2,nordictrack 1750 review,1,5,470,0.13,1000,65,https://www.treadmillreviews.net/nordictrack-commercial-1750/
2,woodway treadmill,2,5,470,0.13,18100,62,https://www.treadmillreviews.net/woodway-treadmill-review/
2,smooth fitness treadmill,1,4,470,0.13,1000,65,https://www.treadmillreviews.net/smooth-fitness-treadmill-reviews/
2,trimline treadmill,1,5,470,0.13,1000,69,https://www.treadmillreviews.net/trimline-treadmill-review/
2,best treadmill 2019,1,5,470,0.13,1000,83,https://www.treadmillreviews.net/best-home-treadmills-of-2019/
